customer_name,customer_direction,customer_category,customer_photo,customer_phone,active,active2
Cliente Mostrador,,Mostrador,,,1,0
Trejos,Rancho San Pedro,Tienda,Gemini_Generated_Image_dvwx7ydvwx7ydvwx(1).png,9972618,1,1
Restaurante El Fogón,Av. Juárez 120,Comedor,,4491234567,1,1
Taquería Los Amigos,Calle 5 de Mayo 45,Comedor,,4497654321,1,1
Cocina Doña María,Blvd. Aguascalientes 300,Comedor,,4491112233,1,1
Fonda La Abuela,Calle Morelos 78,Comedor,,4493334455,1,1
Lonchería El Buen Sabor,Av. López Mateos 210,Comedor,,4495556677,1,1
Tienda La Esquina,Calle Hidalgo 15,Tienda,,4492223344,1,1
Abarrotes Don José,Av. Convención 88,Tienda,,4496667788,1,1
Mini Super El Sol,Calle Allende 42,Tienda,,4498889900,1,1
Tiendita Lupita,Calle Zaragoza 33,Tienda,,4491010101,1,1
